%time,field.data
1370290000000,cross-track error :-0.0397435426712
1370310000000,cross-track error :-0.0382629036903
1370340000000,cross-track error :-0.0385408401489
1370380000000,cross-track error :-0.0366688966751
1370400000000,cross-track error :-0.0339877009392
1370430000000,cross-track error :-0.0339935421944
1370460000000,cross-track error :-0.0329572558403
1370490000000,cross-track error :-0.0313003659248
1370520000000,cross-track error :-0.0301513075829
1370550000000,cross-track error :-0.028267800808
1370600000000,cross-track error :-0.0272184610367
1370610000000,cross-track error :-0.0248258113861
1370630000000,cross-track error :-0.023838698864
1370680000000,cross-track error :-0.0230191349983
1370710000000,cross-track error :-0.0209446549416
1370740000000,cross-track error :-0.0212131738663
1370760000000,cross-track error :-0.0187742710114
1370780000000,cross-track error :-0.0175029039383
1370790000000,cross-track error :-0.0160839557648
1370820000000,cross-track error :-0.014927983284
1370850000000,cross-track error :-0.016672372818
1370880000000,cross-track error :-0.0130747556686
1370900000000,cross-track error :-0.0121904015541
1370920000000,cross-track error :-0.0112417340279
1370960000000,cross-track error :-0.00951415300369
1370980000000,cross-track error :-0.00865054130554
1371010000000,cross-track error :-0.00875699520111
1371040000000,cross-track error :-0.00570803880692
1371050000000,cross-track error :-0.00527065992355
1371080000000,cross-track error :-0.00484925508499
1371110000000,cross-track error :-0.0036952495575
1371130000000,cross-track error :-0.00358825922012
1371210000000,cross-track error :-0.00182288885117
1371240000000,cross-track error :0.000451922416687
1371270000000,cross-track error :0.00272083282471
1371280000000,cross-track error :0.00291907787323
1371310000000,cross-track error :0.00336217880249
1371360000000,cross-track error :0.00509440898895
1371420000000,cross-track error :0.00665545463562
1371490000000,cross-track error :0.00982224941254
1371530000000,cross-track error :0.0103372335434
1371570000000,cross-track error :0.0131747722626
1371610000000,cross-track error :0.0132840871811
1371640000000,cross-track error :0.0144455432892
1371680000000,cross-track error :0.0157210826874
1371710000000,cross-track error :0.0165753364563
1371750000000,cross-track error :0.0206916332245
1371780000000,cross-track error :0.0182600021362
1371820000000,cross-track error :0.0165481567383
1371850000000,cross-track error :0.0158243179321
1371870000000,cross-track error :0.0183526277542
1371910000000,cross-track error :0.0199856758118
1371940000000,cross-track error :0.0229816436768
1371970000000,cross-track error :0.0261535644531
1372000000000,cross-track error :0.0309987068176
1372010000000,cross-track error :0.0352202653885
1372050000000,cross-track error :0.0385459661484
1372080000000,cross-track error :0.0489726066589
1372110000000,cross-track error :0.0514730215073
1372140000000,cross-track error :0.060240149498
