%time,field.data
738140000000,cross-track error :-0.0405138731003
738170000000,cross-track error :-0.0412591695786
738190000000,cross-track error :-0.0435328483582
738220000000,cross-track error :-0.0451352596283
738240000000,cross-track error :-0.0467361807823
738270000000,cross-track error :-0.0473288297653
738310000000,cross-track error :-0.0489262342453
738340000000,cross-track error :-0.0508717298508
738370000000,cross-track error :-0.0519509315491
738400000000,cross-track error :-0.0539246201515
738430000000,cross-track error :-0.0554879307747
738460000000,cross-track error :-0.0562467575073
738470000000,cross-track error :-0.0577303767204
738500000000,cross-track error :-0.0587573647499
738520000000,cross-track error :-0.0591922998428
738530000000,cross-track error :-0.0591482520103
738560000000,cross-track error :-0.0624815225601
738590000000,cross-track error :-0.0613335967064
738610000000,cross-track error :-0.0622077584267
738630000000,cross-track error :-0.0632858276367
738660000000,cross-track error :-0.0630390048027
738680000000,cross-track error :-0.0638144016266
738700000000,cross-track error :-0.0649067163467
738720000000,cross-track error :-0.0655356645584
738740000000,cross-track error :-0.0659700632095
738760000000,cross-track error :-0.0666863918304
738780000000,cross-track error :-0.0687314867973
738820000000,cross-track error :-0.06791639328
738850000000,cross-track error :-0.06818151474
738900000000,cross-track error :-0.0696777105331
738950000000,cross-track error :-0.0697681903839
738980000000,cross-track error :-0.0695649385452
739000000000,cross-track error :-0.0707813501358
739020000000,cross-track error :-0.0713424682617
739040000000,cross-track error :-0.0711537599564
739070000000,cross-track error :-0.0705919265747
739090000000,cross-track error :-0.072429060936
739120000000,cross-track error :-0.0710935592651
739160000000,cross-track error :-0.0716528892517
739190000000,cross-track error :-0.0731691718102
739210000000,cross-track error :-0.0718258619308
739220000000,cross-track error :-0.0722235441208
739250000000,cross-track error :-0.0726058483124
739280000000,cross-track error :-0.0717331767082
739300000000,cross-track error :-0.0715017914772
739320000000,cross-track error :-0.0725061893463
739350000000,cross-track error :-0.0721154212952
739370000000,cross-track error :-0.0722774863243
739390000000,cross-track error :-0.0710006356239
739420000000,cross-track error :-0.0710768699646
739450000000,cross-track error :-0.0705474615097
739470000000,cross-track error :-0.0704097151756
739490000000,cross-track error :-0.0713037252426
739510000000,cross-track error :-0.0705841779709
739540000000,cross-track error :-0.0695106387138
739560000000,cross-track error :-0.0702379345894
739590000000,cross-track error :-0.0698677301407
739610000000,cross-track error :-0.0695553421974
739630000000,cross-track error :-0.0685869455338
739660000000,cross-track error :-0.0696965456009
739680000000,cross-track error :-0.0681414008141
739710000000,cross-track error :-0.0679098963737
739730000000,cross-track error :-0.0675874352455
739760000000,cross-track error :-0.0669347643852
739770000000,cross-track error :-0.0666425228119
739800000000,cross-track error :-0.065903365612
739830000000,cross-track error :-0.0654376745224
739860000000,cross-track error :-0.064769744873
739900000000,cross-track error :-0.0636169910431
739950000000,cross-track error :-0.0628072619438
739970000000,cross-track error :-0.0621740818024
739980000000,cross-track error :-0.0619157552719
740020000000,cross-track error :-0.0611745119095
740050000000,cross-track error :-0.0620978474617
740070000000,cross-track error :-0.0595703125
740090000000,cross-track error :-0.0590197443962
740110000000,cross-track error :-0.0586838126183
740130000000,cross-track error :-0.05955773592
740150000000,cross-track error :-0.0568360090256
740180000000,cross-track error :-0.0560387969017
740200000000,cross-track error :-0.056480050087
740220000000,cross-track error :-0.0556247830391
740250000000,cross-track error :-0.0552361011505
740270000000,cross-track error :-0.0535498261452
740290000000,cross-track error :-0.0529959797859
740310000000,cross-track error :-0.0521534085274
740330000000,cross-track error :-0.0520902872086
740350000000,cross-track error :-0.0515419840813
740370000000,cross-track error :-0.0502399802208
740400000000,cross-track error :-0.049936413765
740420000000,cross-track error :-0.0497511029243
740450000000,cross-track error :-0.0491963028908
740470000000,cross-track error :-0.0472095608711
740490000000,cross-track error :-0.0458461046219
740510000000,cross-track error :-0.0459406375885
740530000000,cross-track error :-0.0452137589455
740560000000,cross-track error :-0.0449423789978
740580000000,cross-track error :-0.0441213846207
740600000000,cross-track error :-0.0426512956619
740620000000,cross-track error :-0.0425223112106
740640000000,cross-track error :-0.0427995324135
740660000000,cross-track error :-0.0405554175377
740680000000,cross-track error :-0.0406901836395
740700000000,cross-track error :-0.0403973460197
740720000000,cross-track error :-0.0381477475166
740740000000,cross-track error :-0.0380355119705
740760000000,cross-track error :-0.0375823974609
740780000000,cross-track error :-0.036198079586
740800000000,cross-track error :-0.0358725786209
740820000000,cross-track error :-0.0358500480652
740840000000,cross-track error :-0.0346883535385
740860000000,cross-track error :-0.0332500934601
740880000000,cross-track error :-0.0339487791061
740900000000,cross-track error :-0.0335022807121
740920000000,cross-track error :-0.0318326354027
740940000000,cross-track error :-0.0308657884598
740960000000,cross-track error :-0.0304690599442
740980000000,cross-track error :-0.0295444130898
741000000000,cross-track error :-0.0300295948982
741020000000,cross-track error :-0.029276072979
741040000000,cross-track error :-0.0288791060448
741070000000,cross-track error :-0.0267905592918
741090000000,cross-track error :-0.0283092856407
741110000000,cross-track error :-0.0273234844208
741130000000,cross-track error :-0.0245262384415
741160000000,cross-track error :-0.0244801640511
741190000000,cross-track error :-0.024217069149
741210000000,cross-track error :-0.0235151648521
741230000000,cross-track error :-0.0219141840935
741260000000,cross-track error :-0.0226151943207
741280000000,cross-track error :-0.0199706554413
741300000000,cross-track error :-0.0198545455933
741330000000,cross-track error :-0.019015789032
741350000000,cross-track error :-0.0188442468643
741370000000,cross-track error :-0.0185205936432
741390000000,cross-track error :-0.0173464417458
741420000000,cross-track error :-0.0170820355415
741430000000,cross-track error :-0.0163571834564
741460000000,cross-track error :-0.0158627033234
741480000000,cross-track error :-0.0149997472763
741510000000,cross-track error :-0.0143519043922
741530000000,cross-track error :-0.013222515583
741560000000,cross-track error :-0.0139778256416
741590000000,cross-track error :-0.0122487545013
741610000000,cross-track error :-0.0129379630089
741630000000,cross-track error :-0.0112752318382
741650000000,cross-track error :-0.0109168291092
741670000000,cross-track error :-0.0100423693657
741690000000,cross-track error :-0.00962674617767
741710000000,cross-track error :-0.00936889648438
741730000000,cross-track error :-0.00879788398743
741750000000,cross-track error :-0.00940120220184
741760000000,cross-track error :-0.00799751281738
741780000000,cross-track error :-0.00750923156738
741800000000,cross-track error :-0.00885391235352
741820000000,cross-track error :-0.00730568170547
741840000000,cross-track error :-0.00693219900131
741860000000,cross-track error :-0.00597470998764
741880000000,cross-track error :-0.00585442781448
741910000000,cross-track error :-0.00523447990417
741930000000,cross-track error :-0.00557637214661
741950000000,cross-track error :-0.00491511821747
741970000000,cross-track error :-0.0052518248558
742000000000,cross-track error :-0.00450384616852
742020000000,cross-track error :-0.00463402271271
742040000000,cross-track error :-0.00237494707108
742060000000,cross-track error :-0.00260204076767
742080000000,cross-track error :-0.00358533859253
742100000000,cross-track error :-0.00233143568039
742120000000,cross-track error :-0.00221651792526
742140000000,cross-track error :-0.00154805183411
742170000000,cross-track error :-0.00136488676071
742190000000,cross-track error :-0.00182962417603
742210000000,cross-track error :-0.000772953033447
742230000000,cross-track error :-0.00109833478928
742250000000,cross-track error :-0.00148701667786
742270000000,cross-track error :0.000144600868225
742290000000,cross-track error :-0.000720202922821
742310000000,cross-track error :-0.000205755233765
742330000000,cross-track error :-0.000744760036469
742350000000,cross-track error :-3.57031822205e-05
742380000000,cross-track error :-0.000501155853271
742390000000,cross-track error :-0.000735700130463
742420000000,cross-track error :-0.000132620334625
742440000000,cross-track error :0.000107526779175
742460000000,cross-track error :0.000412464141846
742490000000,cross-track error :0.000452756881714
742510000000,cross-track error :-0.000193476676941
742530000000,cross-track error :0.000215768814087
742550000000,cross-track error :0.000639677047729
742570000000,cross-track error :0.00148093700409
742580000000,cross-track error :0.000874042510986
742600000000,cross-track error :0.000613451004028
